Opcode: 0xD0 | A: 0x00 | X: 0x20 | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x20 | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x20 | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x21 | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x21 | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x21 | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x22 | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x22 | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x22 | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x23 | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x23 | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x23 | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x24 | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x24 | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x24 | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x25 | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x25 | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x25 | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x26 | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x26 | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x26 | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x27 | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x27 | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x27 | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x28 | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x28 | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x28 | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x29 | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x29 | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x29 | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x2A | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x2A | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x2A | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x2B | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x2B | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x2B | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x2C | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x2C | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x2C | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x2D | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x2D | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x2D | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x2E | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x2E | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x2E | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x2F | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x2F | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x2F | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x30 | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x30 | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x30 | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x31 | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x31 | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x31 | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x32 | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x32 | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x32 | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x33 | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x33 | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x33 | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x34 | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x34 | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x34 | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x35 | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x35 | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x35 | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x36 | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x36 | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x36 | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x37 | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x37 | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x37 | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x38 | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x38 | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x38 | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x39 | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x39 | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x39 | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x3A | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x3A | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x3A | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x3B | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x3B | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x3B | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x3C | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x3C | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x3C | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x3D | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x3D | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x3D | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x3E | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x3E | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x3E | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x3F | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x3F | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x3F | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x40 | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x40 | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x40 | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x41 | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x41 | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x41 | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x42 | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x42 | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x42 | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x43 | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x43 | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x43 | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x44 | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x44 | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x44 | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x45 | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x45 | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x45 | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x46 | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
Opcode: 0x95 | A: 0x00 | X: 0x46 | Y: 0x00 | PC: 0xF007 | SP: 0xFF | Status: 0x34
Opcode: 0xE8 | A: 0x00 | X: 0x46 | Y: 0x00 | PC: 0xF009 | SP: 0xFF | Status: 0x34
Opcode: 0xD0 | A: 0x00 | X: 0x47 | Y: 0x00 | PC: 0xF00A | SP: 0xFF | Status: 0x34
